street,city,state,zip,price,price_num,beds,baths,sqft,price_per_sqft,full_address
4732 W Davis Rd,Glendale,AZ,85306,"$475,000",475000,4,2.0,2241,211.96,"4732 W Davis Rd, Glendale, AZ 85306"
2353 W Tierra Buena Ln,Phoenix,AZ,85023,"$499,900",499900,4,2.0,1752,285.33,"2353 W Tierra Buena Ln, Phoenix, AZ 85023"
2344 W Marconi Ave,Phoenix,AZ,85023,"$560,000",560000,4,3.0,2048,273.44,"2344 W Marconi Ave, Phoenix, AZ 85023"
2846 W Villa Rita Dr,Phoenix,AZ,85053,"$540,000",540000,5,3.0,2076,260.12,"2846 W Villa Rita Dr, Phoenix, AZ 85053"
15225 N 37th Way,Phoenix,AZ,85032,"$565,000",565000,4,2.0,1748,323.23,"15225 N 37th Way, Phoenix, AZ 85032"
18820 N 35th Way,Phoenix,AZ,85050,"$582,000",582000,4,3.0,1972,295.13,"18820 N 35th Way, Phoenix, AZ 85050"
4209 W Wahalla Ln,Glendale,AZ,85308,"$625,000",625000,4,2.0,2349,266.07,"4209 W Wahalla Ln, Glendale, AZ 85308"
4137 W Cielo Grande,Glendale,AZ,85310,"$519,900",519900,4,2.0,2125,244.66,"4137 W Cielo Grande, Glendale, AZ 85310"
13307 N 84th Ave,Peoria,AZ,85381,"$490,000",490000,4,3.0,2052,238.79,"13307 N 84th Ave, Peoria, AZ 85381"
14014 N 39th Ave,Phoenix,AZ,85053,"$495,000",495000,4,2.0,1930,256.48,"14014 N 39th Ave, Phoenix, AZ 85053"
25841 N 66th Dr,Phoenix,AZ,85083,"$499,777",499777,4,2.0,1884,265.27,"25841 N 66th Dr, Phoenix, AZ 85083"
4001 W Libby St,Glendale,AZ,85308,"$458,000",458000,4,2.0,1873,244.53,"4001 W Libby St, Glendale, AZ 85308"
5522 W Carol Ave,Glendale,AZ,85302,"$442,000",442000,5,3.0,2139,206.64,"5522 W Carol Ave, Glendale, AZ 85302"
5004 W Kaler Dr,Glendale,AZ,85301,"$459,900",459900,4,4.0,2405,191.23,"5004 W Kaler Dr, Glendale, AZ 85301"
4342 W Claremont St,Glendale,AZ,85301,"$514,800",514800,5,3.0,2160,238.33,"4342 W Claremont St, Glendale, AZ 85301"
20021 N 38th Ln,Glendale,AZ,85308,"$545,000",545000,4,3.0,2627,207.46,"20021 N 38th Ln, Glendale, AZ 85308"
18825 N 34th St,Phoenix,AZ,85050,"$550,000",550000,4,2.0,1952,281.76,"18825 N 34th St, Phoenix, AZ 85050"
4136 W Hearn Rd,Phoenix,AZ,85053,"$457,000",457000,4,3.0,2228,205.12,"4136 W Hearn Rd, Phoenix, AZ 85053"
4020 W Anderson Dr,Glendale,AZ,85308,"$479,900",479900,4,2.0,1882,254.99,"4020 W Anderson Dr, Glendale, AZ 85308"
8714 E Plaza Ave,Scottsdale,AZ,85250,"$750,000",750000,4,2.0,1620,462.96,"8714 E Plaza Ave, Scottsdale, AZ 85250"
8426 E Lincoln Dr,Scottsdale,AZ,85250,"$849,900",849900,4,2.5,2373,358.16,"8426 E Lincoln Dr, Scottsdale, AZ 85250"
11035 E Clinton St,Scottsdale,AZ,85259,"$775,000",775000,4,2.0,1971,393.20,"11035 E Clinton St, Scottsdale, AZ 85259"
14622 N 37th St,Phoenix,AZ,85032,"$510,000",510000,4,2.0,1350,377.78,"14622 N 37th St, Phoenix, AZ 85032"
12808 N 27th St,Phoenix,AZ,85032,"$509,000",509000,4,2.0,1909,266.63,"12808 N 27th St, Phoenix, AZ 85032"
16814 N 31st Ave,Phoenix,AZ,85053,"$400,000",400000,4,2.0,1921,208.23,"16814 N 31st Ave, Phoenix, AZ 85053"
4417 W Sandra Cir,Glendale,AZ,85308,"$354,000",354000,4,2.0,1730,204.62,"4417 W Sandra Cir, Glendale, AZ 85308"
17244 N 36th Ln,Glendale,AZ,85308,"$425,000",425000,4,1.75,1898,223.92,"17244 N 36th Ln, Glendale, AZ 85308"
7126 W Columbine Dr,Peoria,AZ,85381,"$565,000",565000,4,2.0,2459,229.77,"7126 W Columbine Dr, Peoria, AZ 85381"
14353 N 76th Dr,Peoria,AZ,85381,"$550,000",550000,4,2.0,1700,323.53,"14353 N 76th Dr, Peoria, AZ 85381"
7233 W Corrine Dr,Peoria,AZ,85381,"$749,999",749999,4,3.0,1982,378.40,"7233 W Corrine Dr, Peoria, AZ 85381"
8803 N 105th Dr,Peoria,AZ,85345,"$509,000",509000,4,2.0,2225,228.76,"8803 N 105th Dr, Peoria, AZ 85345"
8931 W Villa Rita Dr,Peoria,AZ,85382,"$549,900",549900,5,2.5,2672,205.80,"8931 W Villa Rita Dr, Peoria, AZ 85382"
9150 W Villa Rita Dr,Peoria,AZ,85382,"$605,000",605000,4,3.0,1919,315.27,"9150 W Villa Rita Dr, Peoria, AZ 85382"
5038 W Echo Ln,Glendale,AZ,85302,"$634,000",634000,6,3.0,2813,225.38,"5038 W Echo Ln, Glendale, AZ 85302"
9832 N 29th St,Phoenix,AZ,85028,"$765,000",765000,4,2.0,1819,420.56,"9832 N 29th St, Phoenix, AZ 85028"
