rank,address,kill_switch_passed,tier,total_score,list_price,roof_cost,hvac_cost,pool_cost,plumbing_cost,kitchen_cost,total_renovation,true_cost,price_delta_pct
1,"2353 W Tierra Buena Ln, Phoenix, AZ 85023",N/A,Contender,436.2,499900.0,0,0,0,10000,15000,25000,524900.0,5.001000200040008
2,"4137 W Cielo Grande, Glendale, AZ 85310",N/A,Failed,418.6,519900.0,0,0,3000,0,0,3000,522900.0,0.5770340450086555
3,"4732 W Davis Rd, Glendale, AZ 85306",N/A,Contender,417.5,475000.0,0,0,0,10000,15000,25000,500000.0,5.263157894736842
4,"4417 W Sandra Cir, Glendale, AZ 85308",N/A,Contender,417.0,354000.0,0,0,0,10000,15000,25000,379000.0,7.062146892655368
5,"2846 W Villa Rita Dr, Phoenix, AZ 85053",N/A,Contender,405.2,540000.0,5000,0,0,5000,15000,25000,565000.0,4.62962962962963
6,"4020 W Anderson Dr, Glendale, AZ 85308",N/A,Contender,403.0,479900.0,10000,0,0,5000,15000,30000,509900.0,6.251302354657221
7,"2344 W Marconi Ave, Phoenix, AZ 85023",N/A,Contender,398.2,560000.0,0,0,0,10000,15000,25000,585000.0,4.464285714285714
8,"8426 E Lincoln Dr, Scottsdale, AZ 85250",N/A,Contender,392.5,849900.0,0,0,3000,10000,15000,28000,877900.0,3.294505235910107
9,"14622 N 37th St, Phoenix, AZ 85032",N/A,Contender,385.1,510000.0,0,0,0,10000,15000,25000,535000.0,4.901960784313726
10,"4209 W Wahalla Ln, Glendale, AZ 85308",N/A,Contender,383.7,625000.0,5000,0,0,2000,0,7000,632000.0,1.1199999999999999
11,"4136 W Hearn Rd, Phoenix, AZ 85053",N/A,Contender,382.0,457000.0,0,0,0,10000,15000,25000,482000.0,5.470459518599562
12,"25841 N 66th Dr, Phoenix, AZ 85083",N/A,Failed,379.5,499777.0,10000,0,0,0,0,10000,509777.0,2.000892398009512
13,"8714 E Plaza Ave, Scottsdale, AZ 85250",N/A,Contender,378.8,750000.0,0,0,0,10000,15000,25000,775000.0,3.3333333333333335
14,"18825 N 34th St, Phoenix, AZ 85050",N/A,Failed,377.8,550000.0,0,0,0,2000,0,2000,552000.0,0.36363636363636365
15,"20021 N 38th Ln, Glendale, AZ 85308",N/A,Contender,375.2,545000.0,0,0,3000,2000,0,5000,550000.0,0.9174311926605505
16,"5522 W Carol Ave, Glendale, AZ 85302",N/A,Contender,374.5,442000.0,5000,0,3000,10000,15000,33000,475000.0,7.46606334841629
17,"18820 N 35th Way, Phoenix, AZ 85050",N/A,Failed,372.3,582000.0,0,0,5000,0,0,5000,587000.0,0.859106529209622
18,"5004 W Kaler Dr, Glendale, AZ 85301",N/A,Contender,372.0,459900.0,5000,0,3000,10000,15000,33000,492900.0,7.175472928897586
19,"15225 N 37th Way, Phoenix, AZ 85032",N/A,Contender,370.7,565000.0,5000,3000,3000,10000,15000,36000,601000.0,6.371681415929204
20,"9832 N 29th St, Phoenix, AZ 85028",N/A,Failed,366.8,765000.0,0,3000,0,10000,15000,28000,793000.0,3.6601307189542487
21,"5038 W Echo Ln, Glendale, AZ 85302",N/A,Contender,362.8,634000.0,8000,4000,5000,10000,15000,42000,676000.0,6.624605678233439
22,"4001 W Libby St, Glendale, AZ 85308",N/A,Contender,362.5,458000.0,10000,0,3000,5000,15000,33000,491000.0,7.20524017467249
23,"8931 W Villa Rita Dr, Peoria, AZ 85382",N/A,Pass,358.7,549900.0,0,0,3000,2000,0,5000,554900.0,0.9092562284051645
24,"12808 N 27th St, Phoenix, AZ 85032",N/A,Pass,356.2,509000.0,0,0,0,10000,15000,25000,534000.0,4.911591355599214
25,"16814 N 31st Ave, Phoenix, AZ 85053",N/A,Pass,353.5,400000.0,5000,3000,3000,10000,15000,36000,436000.0,9.0
26,"14014 N 39th Ave, Phoenix, AZ 85053",N/A,Pass,352.7,495000.0,5000,3000,3000,10000,15000,36000,531000.0,7.2727272727272725
27,"13307 N 84th Ave, Peoria, AZ 85381",N/A,Pass,352.7,490000.0,10000,0,3000,5000,15000,33000,523000.0,6.73469387755102
28,"11035 E Clinton St, Scottsdale, AZ 85259",N/A,Pass,350.3,775000.0,10000,0,0,5000,15000,30000,805000.0,3.870967741935484
29,"17244 N 36th Ln, Glendale, AZ 85308",N/A,Failed,347.0,425000.0,5000,3000,3000,10000,15000,36000,461000.0,8.470588235294118
30,"7233 W Corrine Dr, Peoria, AZ 85381",N/A,Pass,346.3,749999.0,10000,0,3000,5000,15000,33000,782999.0,4.400005866674489
31,"7126 W Columbine Dr, Peoria, AZ 85381",N/A,Pass,345.7,565000.0,10000,0,3000,5000,15000,33000,598000.0,5.84070796460177
32,"9150 W Villa Rita Dr, Peoria, AZ 85382",N/A,Pass,341.6,605000.0,0,0,0,2000,0,2000,607000.0,0.3305785123966942
33,"4342 W Claremont St, Glendale, AZ 85301",N/A,Pass,340.7,514800.0,5000,3000,3000,10000,15000,36000,550800.0,6.993006993006993
34,"8803 N 105th Dr, Peoria, AZ 85345",N/A,Pass,335.3,509000.0,5000,0,3000,10000,15000,33000,542000.0,6.4833005893909625
35,"14353 N 76th Dr, Peoria, AZ 85381",N/A,Pass,331.6,550000.0,5000,3000,0,2000,0,10000,560000.0,1.8181818181818181
