rank,tier,total_score,kill_switch_passed,full_address,city,price,beds,baths,sqft,price_per_sqft,lot_sqft,year_built,garage_spaces,sewer_type,hoa_fee,tax_annual,commute_minutes,school_rating,orientation,distance_to_grocery_miles,distance_to_highway_miles,solar_status,solar_lease_monthly,has_pool,pool_equipment_age,roof_age,hvac_age,score_location,score_lot_systems,score_interior,kitchen_layout_score,master_suite_score,natural_light_score,high_ceilings_score,fireplace_present,laundry_area_score,aesthetics_score,backyard_utility_score,safety_neighborhood_score,parks_walkability_score,kill_switch_failures
1,Pass,317.5,PASS,"4417 W Sandra Cir, Glendale, AZ 85308",Glendale,354000,4,2.0,1730,204.62,,,,,,,,,,,,,,,,,,125.0,102.5,90.0,,,,,,,,,,,
2,Pass,310.9,PASS,"16814 N 31st Ave, Phoenix, AZ 85053",Phoenix,400000,4,2.0,1921,208.22,,,,,,,,,,,,,,,,,,125.0,95.9,90.0,,,,,,,,,,,
3,Failed,307.1,FAIL,"17244 N 36th Ln, Glendale, AZ 85308",Glendale,425000,4,1.75,1898,223.92,,,,,,,,,,,,,,,,,,125.0,92.1,90.0,,,,,,,,,,,baths: Minimum 2 bathrooms (1.75 baths) [HARD FAIL]
4,Pass,304.2,PASS,"5522 W Carol Ave, Glendale, AZ 85302",Glendale,442000,5,3.0,2139,206.64,,,,,,,,,,,,,,,,,,125.0,89.2,90.0,,,,,,,,,,,
5,Pass,302.2,PASS,"4001 W Libby St, Glendale, AZ 85308",Glendale,458000,4,2.0,1873,244.53,,,,,,,,,,,,,,,,,,125.0,87.2,90.0,,,,,,,,,,,
6,Pass,301.9,PASS,"4136 W Hearn Rd, Phoenix, AZ 85053",Phoenix,457000,4,3.0,2228,205.12,,,,,,,,,,,,,,,,,,125.0,86.9,90.0,,,,,,,,,,,
7,Pass,301.2,PASS,"5004 W Kaler Dr, Glendale, AZ 85301",Glendale,459900,4,4.0,2405,191.23,,,,,,,,,,,,,,,,,,125.0,86.2,90.0,,,,,,,,,,,
8,Pass,299.2,PASS,"4732 W Davis Rd, Glendale, AZ 85306",Glendale,475000,4,2.0,2241,211.96,,,,,,,,,,,,,,,,,,125.0,84.2,90.0,,,,,,,,,,,
9,Pass,298.9,PASS,"4020 W Anderson Dr, Glendale, AZ 85308",Glendale,479900,4,2.0,1882,254.99,,,,,,,,,,,,,,,,,,125.0,83.9,90.0,,,,,,,,,,,
10,Pass,297.2,PASS,"13307 N 84th Ave, Peoria, AZ 85381",Peoria,490000,4,3.0,2052,238.79,,,,,,,,,,,,,,,,,,125.0,82.2,90.0,,,,,,,,,,,
11,Pass,296.6,PASS,"14014 N 39th Ave, Phoenix, AZ 85053",Phoenix,495000,4,2.0,1930,256.48,,,,,,,,,,,,,,,,,,125.0,81.6,90.0,,,,,,,,,,,
12,Pass,296.1,PASS,"2353 W Tierra Buena Ln, Phoenix, AZ 85023",Phoenix,499900,4,2.0,1752,285.33,,,,,,,,,,,,,,,,,,125.0,81.1,90.0,,,,,,,,,,,
13,Pass,295.9,PASS,"25841 N 66th Dr, Phoenix, AZ 85083",Phoenix,499777,4,2.0,1884,265.27,,,,,,,,,,,,,,,,,,125.0,80.9,90.0,,,,,,,,,,,
14,Pass,294.9,PASS,"14622 N 37th St, Phoenix, AZ 85032",Phoenix,510000,4,2.0,1350,377.78,,,,,,,,,,,,,,,,,,125.0,79.9,90.0,,,,,,,,,,,
15,Pass,294.5,PASS,"12808 N 27th St, Phoenix, AZ 85032",Phoenix,509000,4,2.0,1909,266.63,,,,,,,,,,,,,,,,,,125.0,79.5,90.0,,,,,,,,,,,
16,Pass,294.1,PASS,"8803 N 105th Dr, Peoria, AZ 85345",Peoria,509000,4,2.0,2225,228.76,,,,,,,,,,,,,,,,,,125.0,79.1,90.0,,,,,,,,,,,
17,Pass,293.3,PASS,"4342 W Claremont St, Glendale, AZ 85301",Glendale,514800,5,3.0,2160,238.33,,,,,,,,,,,,,,,,,,125.0,78.3,90.0,,,,,,,,,,,
18,Pass,292.6,PASS,"4137 W Cielo Grande, Glendale, AZ 85310",Glendale,519900,4,2.0,2125,244.66,,,,,,,,,,,,,,,,,,125.0,77.6,90.0,,,,,,,,,,,
19,Pass,289.6,PASS,"2846 W Villa Rita Dr, Phoenix, AZ 85053",Phoenix,540000,5,3.0,2076,260.12,,,,,,,,,,,,,,,,,,125.0,74.6,90.0,,,,,,,,,,,
20,Pass,288.7,PASS,"14353 N 76th Dr, Peoria, AZ 85381",Peoria,550000,4,2.0,1700,323.53,,,,,,,,,,,,,,,,,,125.0,73.7,90.0,,,,,,,,,,,
21,Pass,288.3,PASS,"18825 N 34th St, Phoenix, AZ 85050",Phoenix,550000,4,2.0,1952,281.76,,,,,,,,,,,,,,,,,,125.0,73.3,90.0,,,,,,,,,,,
22,Pass,288.1,PASS,"20021 N 38th Ln, Glendale, AZ 85308",Glendale,545000,4,3.0,2627,207.46,,,,,,,,,,,,,,,,,,125.0,73.1,90.0,,,,,,,,,,,
23,Pass,287.3,PASS,"8931 W Villa Rita Dr, Peoria, AZ 85382",Peoria,549900,5,2.5,2672,205.8,,,,,,,,,,,,,,,,,,125.0,72.3,90.0,,,,,,,,,,,
24,Pass,286.7,PASS,"2344 W Marconi Ave, Phoenix, AZ 85023",Phoenix,560000,4,3.0,2048,273.44,,,,,,,,,,,,,,,,,,125.0,71.7,90.0,,,,,,,,,,,
25,Pass,286.3,PASS,"15225 N 37th Way, Phoenix, AZ 85032",Phoenix,565000,4,2.0,1748,323.23,,,,,,,,,,,,,,,,,,125.0,71.3,90.0,,,,,,,,,,,
26,Pass,285.3,PASS,"7126 W Columbine Dr, Peoria, AZ 85381",Peoria,565000,4,2.0,2459,229.77,,,,,,,,,,,,,,,,,,125.0,70.3,90.0,,,,,,,,,,,
27,Pass,283.5,PASS,"18820 N 35th Way, Phoenix, AZ 85050",Phoenix,582000,4,3.0,1972,295.13,,,,,,,,,,,,,,,,,,125.0,68.5,90.0,,,,,,,,,,,
28,Pass,282.5,PASS,"4209 W Wahalla Ln, Glendale, AZ 85308",Glendale,625000,4,2.0,2349,266.07,,,,,,,,,,,,,,,,,,125.0,67.5,90.0,,,,,,,,,,,
29,Pass,282.5,PASS,"8714 E Plaza Ave, Scottsdale, AZ 85250",Scottsdale,750000,4,2.0,1620,462.96,,,,,,,,,,,,,,,,,,125.0,67.5,90.0,,,,,,,,,,,
30,Pass,282.5,PASS,"8426 E Lincoln Dr, Scottsdale, AZ 85250",Scottsdale,849900,4,2.5,2373,358.15,,,,,,,,,,,,,,,,,,125.0,67.5,90.0,,,,,,,,,,,
31,Pass,282.5,PASS,"11035 E Clinton St, Scottsdale, AZ 85259",Scottsdale,775000,4,2.0,1971,393.2,,,,,,,,,,,,,,,,,,125.0,67.5,90.0,,,,,,,,,,,
32,Pass,282.5,PASS,"7233 W Corrine Dr, Peoria, AZ 85381",Peoria,749999,4,3.0,1982,378.41,,,,,,,,,,,,,,,,,,125.0,67.5,90.0,,,,,,,,,,,
33,Pass,282.5,PASS,"9150 W Villa Rita Dr, Peoria, AZ 85382",Peoria,605000,4,3.0,1919,315.27,,,,,,,,,,,,,,,,,,125.0,67.5,90.0,,,,,,,,,,,
34,Pass,282.5,PASS,"5038 W Echo Ln, Glendale, AZ 85302",Glendale,634000,6,3.0,2813,225.38,,,,,,,,,,,,,,,,,,125.0,67.5,90.0,,,,,,,,,,,
35,Pass,282.5,PASS,"9832 N 29th St, Phoenix, AZ 85028",Phoenix,765000,4,2.0,1819,420.56,,,,,,,,,,,,,,,,,,125.0,67.5,90.0,,,,,,,,,,,
